Name,quant_12,quant_11,quant_2,quant_3,quant_4,quant_10,quant_1
Pmin_ref_seq_8589,0.258273,0.0,1.957053,0.549111,0.459453,2.130148,0.520399
Pmin_ref_seq_8590,1.03474,1.38451,2.399284,2.97073,1.816167,2.096733,1.192286
Pmin_ref_seq_8591,1.530655,1.680846,0.396172,2.781583,1.402269,3.380036,0.60497
Pmin_ref_seq_8592,1.956482,1.338212,0.1248,0.661735,0.726769,6.751412,0.567203
Pmin_ref_seq_8593,1.649633,1.550597,2.118279,1.639189,1.093561,9.086994,1.717549
Pmin_ref_seq_8594,0.0,0.0,0.0,0.602376,0.698113,2.553893,2.633195
Pmin_ref_seq_8595,0.991853,0.510294,2.605229,1.47573,1.017104,1.822107,0.43212
Pmin_ref_seq_8596,0.250616,1.023245,1.219759,0.591087,1.141455,2.548178,2.249953
Pmin_ref_seq_8597,2.230838,0.810879,0.986921,1.324432,0.989236,3.095728,1.117137
Pmin_ref_seq_8598,0.954519,0.836694,0.656503,2.462888,1.117656,3.357113,2.400812
Pmin_ref_seq_8599,0.733328,0.0,1.255853,0.696919,1.466998,8.405819,1.947656
Pmin_ref_seq_8600,0.0,0.0,0.0,0.0,0.0,4.402351,0.0
Pmin_ref_seq_8601,0.87744,0.0,1.126229,0.0,0.04671,5.857006,0.584948
Pmin_ref_seq_8602,1.082587,2.28968,0.088312,3.054128,1.917253,2.714021,1.373755
Pmin_ref_seq_8603,2.037988,1.399594,7.900293,2.766169,1.493675,0.0,12.479495
Pmin_ref_seq_8604,7.291578,12.324931,10.070775,18.40735,21.022796,48.423324,32.509168
Pmin_ref_seq_8605,2.467749,4.127611,0.647379,5.780308,2.575477,4.20301,2.23315
Pmin_ref_seq_8606,2.957169,3.571828,6.714528,6.997671,3.678688,3.498356,3.841233
Pmin_ref_seq_8607,0.057337,1.440085,0.298213,4.050503,1.889613,2.943613,1.956731
Pmin_ref_seq_8608,0.068009,0.795971,3.400038,0.919503,0.127633,0.232468,4.11935
Pmin_ref_seq_8609,0.592269,2.641787,0.992809,5.948442,1.800577,4.193464,1.409463
Pmin_ref_seq_8610,2.747893,6.434669,1.645504,2.29972,2.11003,6.577676,0.946653
Pmin_ref_seq_8611,11.614191,11.324042,3.9631,9.075747,9.032483,24.000373,5.841862
Pmin_ref_seq_8612,1.263422,1.105986,1.487539,3.095175,1.686512,1.862684,1.39149
Pmin_ref_seq_8613,7.703815,5.991554,14.1972,14.43867,9.429534,10.0224,13.155438
Pmin_ref_seq_8614,1.792653,2.446288,1.026225,3.479636,1.660886,5.692282,3.153964
Pmin_ref_seq_8615,3.443921,2.933038,7.648516,6.662835,4.402877,10.226861,3.038035
Pmin_ref_seq_8616,27.070573,22.310835,74.749808,7.045562,7.472099,55.398868,2.404054
Pmin_ref_seq_8617,0.764015,1.765983,1.405712,1.951982,0.912968,2.889839,1.683685
Pmin_ref_seq_8618,205.465,1224.050243,10062.233078,943.379411,447.101691,1791.033249,7297.352158
Pmin_ref_seq_8619,5.611159,1.531517,13.36268,5.919799,1.433682,12.265823,11.305785
Pmin_ref_seq_8620,1.395791,1.251802,3.76209,1.400222,1.050745,0.266851,2.025121
Pmin_ref_seq_8621,1.376118,2.237945,0.541779,2.906938,1.491402,4.589537,1.202183
Pmin_ref_seq_8622,0.0,0.91953,2.412658,1.058378,1.17248,2.358395,0.396936
Pmin_ref_seq_8623,0.37598,1.304378,3.12706,1.83118,1.767628,1.984199,2.052003
Pmin_ref_seq_8624,4.255896,2.980435,8.303661,5.775244,0.362024,4.830366,2.352895
Pmin_ref_seq_8625,2.26081,3.262142,0.862542,2.896584,2.1065,2.381814,1.181759
Pmin_ref_seq_8626,5.100135,3.514585,4.31243,4.024986,2.837846,7.43858,1.647391
Pmin_ref_seq_8627,3.943429,0.349795,2.259257,1.247258,0.60038,1.326179,3.821037
Pmin_ref_seq_8628,1.837602,0.28847,27.420012,4.746877,3.58521,13.860551,721.645648
Pmin_ref_seq_8629,1.431787,1.633895,1.026525,1.883121,1.678243,5.164942,1.106252
Pmin_ref_seq_8630,2.38809,2.355011,0.459615,3.73127,2.566167,7.015149,1.106484
Pmin_ref_seq_8631,0.808707,2.158664,1.042906,2.179777,0.445598,0.769936,1.39518
Pmin_ref_seq_8632,0.938048,1.946439,3.983555,1.157537,2.509592,0.498719,1.29577
Pmin_ref_seq_8633,1.30148,3.606668,2.31981,4.37931,2.624779,5.256267,3.715528
Pmin_ref_seq_8634,35.269438,12.603778,6.22622,49.863222,15.53384,28.934773,42.847021
Pmin_ref_seq_8635,2.131883,2.483084,0.0,3.85505,0.316982,3.206012,0.554029
Pmin_ref_seq_8636,2.197724,8.278943,24.948512,6.250732,1.992887,9.314007,2.89741
Pmin_ref_seq_8637,0.52689,3.135125,1.548986,2.551101,0.508125,3.737646,3.555646
Pmin_ref_seq_8638,5.872669,0.0,1.625689,0.0,3.209489,0.0,2.124244
Pmin_ref_seq_8639,1.269306,2.553024,0.0,1.784622,1.403251,1.749087,4.925745
Pmin_ref_seq_8640,2.492735,0.35381,0.386362,3.219694,1.005841,5.107586,1.556644
Pmin_ref_seq_8641,0.499071,0.729376,0.90116,1.192516,1.379312,1.434742,2.74214
Pmin_ref_seq_8642,2.832511,0.0,0.0,4.325088,0.0,2.20378,0.0
Pmin_ref_seq_8643,0.365782,0.299342,0.0,1.413823,0.644644,4.737768,0.421906
Pmin_ref_seq_8644,0.737557,2.447427,0.628985,1.713546,0.678445,2.669297,1.068485
Pmin_ref_seq_8645,2.538256,2.077671,0.234213,3.246358,2.073107,5.813782,0.801572
Pmin_ref_seq_8646,3.402585,1.974678,1.554985,3.495995,2.440092,3.453944,2.127952
Pmin_ref_seq_8647,2.376289,4.551858,5.017197,5.39131,3.772846,7.310738,1.597657
Pmin_ref_seq_8648,1.916961,7.624251,7.68345,2.453449,1.908239,5.854771,0.0
Pmin_ref_seq_8649,0.753395,0.488035,1.596415,1.880048,0.303643,2.43774,1.835047
Pmin_ref_seq_8650,6.627766,6.232051,10.207103,8.790917,5.929213,18.083501,13.678409
Pmin_ref_seq_8651,1.072462,3.326795,0.103463,3.765976,1.853513,8.324557,0.3904
Pmin_ref_seq_8652,0.0,4.959616,2.920125,0.0,2.62279,0.0,3.257398
Pmin_ref_seq_8653,0.823816,0.358667,0.895194,2.183412,0.951079,1.987204,2.407453
Pmin_ref_seq_8654,1.196002,3.082738,0.983497,1.938214,1.149394,3.896607,1.149379
Pmin_ref_seq_8655,4.908373,1.915887,2.872555,2.658195,1.569868,7.576927,0.902514
Pmin_ref_seq_8656,2.177718,0.0,1.371559,0.005559,1.574411,3.739097,1.108033
Pmin_ref_seq_8657,10.773039,2.16586,0.388712,1.353901,0.0,0.66595,2.172326
Pmin_ref_seq_8658,1.60512,0.668208,1.520136,0.923821,1.341659,2.602514,0.946626
Pmin_ref_seq_8659,0.689939,2.741193,1.549481,1.921192,0.82837,5.381685,0.453785
Pmin_ref_seq_8660,1.699865,1.24551,7.158583,2.928162,1.869842,2.2447,3.372817
Pmin_ref_seq_8661,3.713824,2.70716,0.291625,2.78737,2.061035,1.822626,0.603771
Pmin_ref_seq_8662,0.199931,0.700578,15.598715,1.034166,0.315906,4.272106,2.272104
Pmin_ref_seq_8663,0.0,0.0,0.0,10.204913,0.0,0.518715,0.0
Pmin_ref_seq_8664,3.621515,4.484737,0.853582,2.576848,2.6625,5.325484,0.678426
Pmin_ref_seq_8665,2.024206,2.25613,2.372032,4.070527,2.24752,4.928992,1.955565
Pmin_ref_seq_8666,0.025111,0.845047,0.484941,2.381118,1.33198,3.521078,8.843704
Pmin_ref_seq_8667,2.611588,1.821362,2.620575,1.969276,0.95474,5.596586,2.261278
Pmin_ref_seq_8668,0.175607,0.251333,0.981126,1.50639,0.341346,4.460007,0.114481
Pmin_ref_seq_8669,3.643806,1.494896,0.815572,2.770775,6.143219,12.465791,7.008189
Pmin_ref_seq_8670,18.980067,5.800853,0.727008,3.513171,5.299141,11.16945,5.935345
Pmin_ref_seq_8671,2.4574,5.129155,3.107375,3.519127,0.414322,8.10465,2.138828
Pmin_ref_seq_8672,3.977182,2.692821,0.94062,3.584497,3.163414,2.611241,0.379805
Pmin_ref_seq_8673,8.469714,8.284763,2.461287,2.104433,6.301996,1.791568,4.707814
Pmin_ref_seq_8674,2.338065,0.874537,2.781191,9.532495,3.595393,7.365873,6.770935
Pmin_ref_seq_8675,18.947102,43.694352,1310.947054,70.981878,33.019908,58.487877,402.304395
Pmin_ref_seq_8676,0.967943,20.10966,1.419963,1.898204,2.141882,5.238871,0.175191
Pmin_ref_seq_8677,20.622491,197.423754,692.942743,89.267191,109.956028,153.124498,310.855903
Pmin_ref_seq_8678,0.0,1.315493,5.678886,1.393233,0.0,0.0,0.0
Pmin_ref_seq_8679,2.723969,1.343523,1.858949,2.179004,0.461218,3.949094,1.475449
Pmin_ref_seq_8680,8.009891,2.282812,1.086422,2.286514,1.842263,13.850975,1.50964
Pmin_ref_seq_8681,3.834006,1.39011,3899.489642,0.70876,0.0,1.982366,40.546192
Pmin_ref_seq_8682,0.917623,1.910489,1.149641,1.539499,0.474676,2.917678,0.0
Pmin_ref_seq_8683,0.387161,4.850113,1.013837,0.479398,0.138286,4.300207,0.953367
Pmin_ref_seq_8684,1.987552,4.23997,1.86752,5.149652,3.26427,4.522538,2.904956
Pmin_ref_seq_8685,2.766637,1.162428,2.433013,1.07931,2.033935,4.896018,1.696327
