Name,healthy_fem,infected_fem,healthy_male,infected_male
Pmin_ref_seq_196,0.0,0.0,0.0,5.497544
Pmin_ref_seq_197,1.420547,0.769818,2.730032,1.0626135
Pmin_ref_seq_198,0.0,2.606069,0.0,1.8170925
Pmin_ref_seq_199,0.0,1.5326019999999998,0.0,2.719679
Pmin_ref_seq_200,0.0,1.680898,0.0,2.5820075
Pmin_ref_seq_201,0.560814,0.8002135,3.877258,0.213583
Pmin_ref_seq_202,1.47842,1.9765945,2.649899,2.1958185
Pmin_ref_seq_203,0.0,24.062439,17.869479,28.3616225
Pmin_ref_seq_204,0.0,1.598599,2.066455,0.42046
Pmin_ref_seq_205,0.0,2.925954,0.0,3.902022
Pmin_ref_seq_206,2.146069,3.79441,6.8623080000000005,4.2114985
Pmin_ref_seq_207,0.0,0.8031275,0.0,2.4338435
Pmin_ref_seq_208,2.391551,1.7952400000000002,13.100817,0.2660035
Pmin_ref_seq_209,0.0,2.4605375,0.0,4.1139425
Pmin_ref_seq_210,0.0,7.045035499999999,0.0,10.145691
Pmin_ref_seq_211,1.590363,3.167758,16.7655305,0.064331
Pmin_ref_seq_212,0.0,2.052191,0.0,1.4958105000000002
Pmin_ref_seq_213,0.0,15.655637,0.0,23.270207
Pmin_ref_seq_214,0.307767,3.216855,1.3767714999999998,0.4659055
Pmin_ref_seq_215,0.0,42.8799725,0.0,78.87775350000001
Pmin_ref_seq_216,0.0,0.225016,0.0,3.352454
Pmin_ref_seq_217,7.418675,6.295442,7.416189,5.538497
Pmin_ref_seq_218,0.0,6.9050295,0.0068725,6.370351
Pmin_ref_seq_219,0.0,7.656646999999999,0.0,7.197815
Pmin_ref_seq_220,0.065532,2.002721,4.320332,1.3177495
Pmin_ref_seq_221,0.0,10.0321335,0.0,6.770916
Pmin_ref_seq_222,0.253399,1.2259545,0.461497,2.4716215
Pmin_ref_seq_223,0.0,0.0,0.0,3.8970275
Pmin_ref_seq_224,0.0,2.8340615,0.0,3.0090715
Pmin_ref_seq_225,0.0,2.296443,0.0,3.5006065
Pmin_ref_seq_226,0.0,2.0307425,0.1905975,0.5139765
Pmin_ref_seq_227,70.198957,1.1854315,67.0361035,9.6951255
Pmin_ref_seq_228,0.0,11.327783,0.0,99.895586
Pmin_ref_seq_229,3.19893,4.478987,4.137506,2.0803295
Pmin_ref_seq_230,0.72691,0.6003054999999999,3.0714295,0.045221
Pmin_ref_seq_231,0.0,2.461556,1.8394895,1.9662165
Pmin_ref_seq_232,0.0,122.08006650000002,0.0,209.6879555
Pmin_ref_seq_233,0.624264,4.755152,2.917702,3.714305
Pmin_ref_seq_234,0.0,0.77273,0.0,5.6946895
Pmin_ref_seq_235,0.0,7.063872,0.0,8.17988
Pmin_ref_seq_236,1.653157,6.3635875,3.687804,3.918856
Pmin_ref_seq_237,0.0,1.423968,0.0,2.5418435
Pmin_ref_seq_238,0.0,2.5623845000000003,0.0,5.524342
Pmin_ref_seq_239,1.712135,2.4346795,0.5495685,0.613013
Pmin_ref_seq_240,0.0,1.705578,0.0,41.9665275
Pmin_ref_seq_241,0.51123,2.7422475,1.2172995,0.981947
Pmin_ref_seq_242,13.270393,21.50149,17.568787,15.6355245
Pmin_ref_seq_243,0.0,4.2566015,0.909876,3.6897555
Pmin_ref_seq_244,0.0,4.097235,0.1919365,9.457302
Pmin_ref_seq_245,5.211629,11.7524145,10.923032,8.267591
Pmin_ref_seq_246,0.0,1.162685,0.0,3.119825
Pmin_ref_seq_247,0.7038,157.012427,127.2630205,128.8669075
Pmin_ref_seq_248,17.451189,21.424415,34.5352535,17.3633295
Pmin_ref_seq_249,1.414695,0.38772,2.3757905,0.6591785
Pmin_ref_seq_250,0.0,0.8732835,2.4852765,0.2260425
Pmin_ref_seq_251,26.321259,50.7260445,34.123849,41.937904
Pmin_ref_seq_252,1.502034,5.283603,3.0399875,3.498974
Pmin_ref_seq_253,0.852685,0.915685,2.1936275,0.9983765
Pmin_ref_seq_254,0.0,328.5411995,0.0,1409.337979
Pmin_ref_seq_255,1.429631,1.350454,2.858397,0.9887575
Pmin_ref_seq_256,0.0,7.454606999999999,0.0,8.354037
Pmin_ref_seq_257,1.625938,3.2698025,3.1046365,2.908203
Pmin_ref_seq_258,1.063645,1.732938,2.0429605,1.479914
Pmin_ref_seq_259,1.245176,27.1310925,14.283063,26.590778
Pmin_ref_seq_260,0.0,1.6469235,1.506592,2.3094935
Pmin_ref_seq_261,9.35064,0.087097,8.137196999999999,0.0131405
Pmin_ref_seq_262,0.947879,1.673957,2.0664775,3.991449
Pmin_ref_seq_263,0.0,1.633791,0.0,3.527454
Pmin_ref_seq_264,0.0,286.9352,0.0,265.6562075
Pmin_ref_seq_265,3.412653,16.028883,9.0522555,9.762124
Pmin_ref_seq_266,3.297166,2.0522435,1.5709975,1.522428
Pmin_ref_seq_267,0.0,2.036851,0.0,7.169992000000001
Pmin_ref_seq_268,0.0,2.6791585,2.0607415,0.252645
Pmin_ref_seq_269,0.0,4.7758965,0.0,7.732672
Pmin_ref_seq_270,0.934,3.9846415,3.3878595,2.5244910000000003
Pmin_ref_seq_271,66.199603,6.7971745,9.263687999999998,3.6787625
Pmin_ref_seq_272,0.0,14.916941,0.0,29.0972355
Pmin_ref_seq_273,0.0,9.7429355,5.967477,4.035501
Pmin_ref_seq_274,0.0,19.998382,0.0,28.0000845
Pmin_ref_seq_275,2.419737,2.694442,1.954835,1.67785
Pmin_ref_seq_276,0.856853,1.4153645,2.9496745,1.37736
Pmin_ref_seq_277,0.432037,1.4585025,2.017835,0.0
Pmin_ref_seq_278,1.691356,16.242247499999998,35.7339725,9.611376
Pmin_ref_seq_279,0.0,16.2291465,0.0,27.310564
Pmin_ref_seq_280,0.0,0.3361835,0.0,3.415563
Pmin_ref_seq_281,0.0,3.106939,0.009024,4.5844795000000005
Pmin_ref_seq_282,15.510694,8.724991,22.3663185,15.6841085
Pmin_ref_seq_283,0.0,6.5554265,0.0,7.2179385
Pmin_ref_seq_284,0.036595,2.847117,0.85404,2.663635
Pmin_ref_seq_285,0.0,0.162619,3.335345,0.044424
Pmin_ref_seq_286,0.835428,6.873132,7.299707,5.4593485
Pmin_ref_seq_287,0.0,2.623253,0.0,3.192107
Pmin_ref_seq_288,4.281657,7.9853135,9.623636,7.3581175
Pmin_ref_seq_289,12.559847,8.6023345,7.1075015,5.4046725
Pmin_ref_seq_290,1.792514,3.098734,1.707155,2.877045
Pmin_ref_seq_291,0.748654,1.991367,6.7545745,1.9477805
Pmin_ref_seq_292,0.0,5.118369,0.0,1.281298
Pmin_ref_seq_293,0.0,13.5037145,0.0,20.9259565
Pmin_ref_seq_294,1.692831,4.541623,4.1532925,2.93693
Pmin_ref_seq_295,0.0,3.1259635,0.0,4.740531
Pmin_ref_seq_296,0.0,18.819159,0.0045765,27.6407285
Pmin_ref_seq_297,175.209797,2.068822,27.1731575,0.0844395
Pmin_ref_seq_298,0.533863,1.2443955,2.048907,1.0399509999999998
Pmin_ref_seq_299,0.0,3.6048175,0.0,116.141653
Pmin_ref_seq_300,2.578487,12.684792000000002,7.435575500000001,8.7544285
Pmin_ref_seq_301,0.0,3.3985505,0.0,3.7220745
Pmin_ref_seq_302,0.716739,2.539238,1.367553,1.010838
Pmin_ref_seq_303,0.0,3.8712325,0.0,6.564324
Pmin_ref_seq_304,0.0,1.1989665,3.607737,6.3217835
Pmin_ref_seq_305,0.0,1.888815,0.0,2.055378
Pmin_ref_seq_306,6.602496,14.4522545,16.231791,9.918237
Pmin_ref_seq_307,1.829543,1.551935,5.543384,1.008748
Pmin_ref_seq_308,0.0,2.698456,0.0,2.520099
Pmin_ref_seq_309,0.0,7.919682,0.3703214999999999,10.3145465
Pmin_ref_seq_310,0.0,3.3324465,0.0,0.0
Pmin_ref_seq_311,13.066397,13.8924075,9.7388945,9.644782
Pmin_ref_seq_312,0.0,10.2382885,16.834849,15.1150855
Pmin_ref_seq_313,0.0,3.5626685,0.0,22.7369955
Pmin_ref_seq_314,0.283258,2.4932455,5.0483295,2.1610925
Pmin_ref_seq_315,0.0,1.6655805,0.0,2.013399
Pmin_ref_seq_316,0.0,5.174106999999999,0.0,6.3833235
Pmin_ref_seq_317,1.943607,2.797811,0.3266495,0.3910605
Pmin_ref_seq_318,0.685707,2.492852,2.133066,3.2007795
