"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Healthy_male"	"Infected_male"
"Pmin_ref_seq_8145"	88.869859118165	87.4059791826193	-1	1
"Pmin_ref_seq_102"	88.8558407871469	87.3932251741299	-1	1
"Pmin_ref_seq_2550"	87.9376700360374	86.4763150755222	0	-1
"Pmin_ref_seq_949"	87.9287050043362	86.4686070475405	-1	1
"Pmin_ref_seq_8258"	87.1920468459664	85.7332022651687	1	-1
"Pmin_ref_seq_8323"	87.0089819086471	85.5513870970052	0	-1
"Pmin_ref_seq_27"	86.7357699215042	85.2794212928749	-1	1
"Pmin_ref_seq_1958"	86.5296050189844	85.0744990077462	0	-1
"Pmin_ref_seq_6512"	86.3457757516126	84.8919088124899	-1	0
"Pmin_ref_seq_7776"	85.411921019299	83.9592896271887	1	-1
"Pmin_ref_seq_4253"	85.2614445807677	83.810045230567	-1	1
"Pmin_ref_seq_9799"	84.0708392452232	82.6206684516605	NA	-1
"Pmin_ref_seq_9532"	83.8476533134448	82.3987076109114	-1	1
"Pmin_ref_seq_1577"	83.7587680463271	82.3110439887115	0	-1
"Pmin_ref_seq_741"	83.4513575441077	82.0048517046314	-1	1
"Pmin_ref_seq_8891"	83.4399444828262	81.9946534538816	NA	0
"Pmin_ref_seq_9950"	83.4326697558173	81.9885901488072	0	0
"Pmin_ref_seq_7685"	83.2745621767157	81.8316906218945	0	-1
"Pmin_ref_seq_7905"	83.1161140422302	81.6744471885474	-1	1
"Pmin_ref_seq_5467"	82.8667882360348	81.4263227509795	1	-1
"Pmin_ref_seq_9951"	82.854309705937	81.4150422753846	0	-1
"Pmin_ref_seq_5505"	82.8281012350497	81.3900285631103	-1	1
"Pmin_ref_seq_7715"	82.4243612390153	80.9874800478833	-1	NA
"Pmin_ref_seq_3740"	82.3664621899706	80.9307692197766	1	-1
"Pmin_ref_seq_5956"	81.9722700664263	80.5377620750899	-1	1
"Pmin_ref_seq_3658"	81.2776163003322	79.8442900634173	1	-1
"Pmin_ref_seq_1611"	80.8201377716574	79.387990082228	-1	1
"Pmin_ref_seq_3608"	80.2784887775445	78.847516446023	0	0
"Pmin_ref_seq_3062"	80.2667492520132	78.8369491060398	-1	1
"Pmin_ref_seq_8302"	80.2422666578067	78.8136355421001	NA	-1
"Pmin_ref_seq_9833"	79.7944666940154	78.3670014702356	-1	1
"Pmin_ref_seq_6168"	79.5597734045234	78.1334709511354	1	-1
"Pmin_ref_seq_299"	79.4746415991217	78.0494988112609	-1	1
"Pmin_ref_seq_8200"	79.1052750126464	77.6812888019856	0	-1
"Pmin_ref_seq_7994"	78.8868507614254	77.4640180560427	-1	0
"Pmin_ref_seq_3581"	78.8681153937829	77.4464331380316	1	-1
"Pmin_ref_seq_7984"	78.8454089894144	77.424874143794	-1	1
"Pmin_ref_seq_5382"	78.485065603987	77.0656751450153	-1	1
"Pmin_ref_seq_8824"	78.4825351069667	77.0642860270539	1	-1
"Pmin_ref_seq_2068"	77.8612934814572	76.4441827887805	1	-1
"Pmin_ref_seq_3517"	77.2850978626601	75.8691225810402	-1	1
"Pmin_ref_seq_6631"	77.2101667102259	75.7953238790049	1	-1
"Pmin_ref_seq_8003"	76.9046426620751	75.4909293359951	-1	1
"Pmin_ref_seq_9820"	76.8043642800502	75.3917775291334	-1	1
"Pmin_ref_seq_1819"	76.5712454087887	75.1597823182191	-1	1
"Pmin_ref_seq_3654"	76.4529111653161	75.0425688353219	-1	1
"Pmin_ref_seq_5766"	76.1615945022318	74.752370047969	NA	0
"Pmin_ref_seq_4135"	75.9836350488338	74.5755256002718	1	-1
"Pmin_ref_seq_7758"	75.3743249427348	73.9673276445422	-1	1
"Pmin_ref_seq_6113"	75.3513394058722	73.9454514173042	-1	1
"Pmin_ref_seq_7241"	75.2724399402253	73.8676584350122	-1	1
"Pmin_ref_seq_1961"	74.9680611813473	73.5643833475844	0	-1
"Pmin_ref_seq_5405"	74.2412321626975	72.8386552027355	1	-1
"Pmin_ref_seq_2189"	73.6453865534529	72.24390768379	1	-1
"Pmin_ref_seq_8495"	73.2181116255541	71.8177280767287	0	-1
