"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Infected_fem"	"Infected_male"
"Pmin_ref_seq_4239"	55.9386830533347	54.1490240122889	-1	1
"Pmin_ref_seq_3143"	55.824504531551	54.0375180803665	0	1
"Pmin_ref_seq_3276"	55.787898997089	54.0035687895482	-1	1
"Pmin_ref_seq_2971"	55.659655929764	53.8779658183894	1	-1
"Pmin_ref_seq_4663"	55.2613308054747	53.4822648379263	0	-1
"Pmin_ref_seq_2228"	55.1794593040673	53.4030017196264	-1	1
"Pmin_ref_seq_5382"	54.9704838111559	53.1966190372933	0	0
"Pmin_ref_seq_6230"	54.5240559574722	52.7527686064973	NA	-1
"Pmin_ref_seq_9969"	53.8367285861809	52.0680034519707	-1	1
"Pmin_ref_seq_6901"	53.4215008588059	51.6553229136096	0	NA
"Pmin_ref_seq_5236"	53.0369292005005	51.2732835918196	-1	1
"Pmin_ref_seq_18"	52.5061409015249	50.7450129490652	0	-1
"Pmin_ref_seq_5947"	52.4550328458575	50.6964080385517	-1	1
"Pmin_ref_seq_5238"	52.3214500987709	50.5653140918687	1	-1
"Pmin_ref_seq_5558"	51.812278871225	50.0586174834506	-1	1
"Pmin_ref_seq_7400"	51.4337233005827	49.682522511356	1	-1
"Pmin_ref_seq_1123"	51.321392290546	49.5726382372664	0	NA
"Pmin_ref_seq_6284"	51.2488749507006	49.5025539260921	-1	0
"Pmin_ref_seq_5495"	51.2207536499623	49.4768520994772	-1	0
"Pmin_ref_seq_4186"	51.0681466656312	49.3266511849119	-1	1
"Pmin_ref_seq_7478"	51.0350785986878	49.2959759310844	NA	0
"Pmin_ref_seq_7467"	50.7391940186514	49.0024710527934	NA	0
"Pmin_ref_seq_2387"	50.4511871773839	48.7168309448049	-1	0
"Pmin_ref_seq_2006"	50.2948374217003	48.5628350945149	-1	0
"Pmin_ref_seq_6731"	50.0999188169748	48.3702577056042	NA	NA
"Pmin_ref_seq_5340"	49.8874113920227	48.1600789429707	-1	1
"Pmin_ref_seq_4260"	49.5043132417764	47.7792970354516	0	-1
"Pmin_ref_seq_4978"	49.3477294540419	47.6250172026267	-1	1
"Pmin_ref_seq_9863"	49.0668328894488	47.3464124348131	0	0
"Pmin_ref_seq_1797"	46.7785831149551	45.0604424266143	-1	1
"Pmin_ref_seq_6161"	45.8970080195171	44.1811351926321	0	-1
"Pmin_ref_seq_1045"	45.7968220752019	44.0832053286212	-1	1
"Pmin_ref_seq_5102"	44.6677929488746	42.9564206232163	0	NA
"Pmin_ref_seq_7465"	44.6261627524653	42.9170233082394	-1	0
"Pmin_ref_seq_6071"	44.3613452764543	42.6544272922223	0	-1
"Pmin_ref_seq_5823"	44.3365589287978	42.6318510993709	NA	0
"Pmin_ref_seq_3096"	44.1617955319401	42.4592866666132	-1	0
"Pmin_ref_seq_3658"	43.8712852680623	42.1709642888835	0	0
"Pmin_ref_seq_7915"	42.8487894661722	41.1506454062477	-1	1
"Pmin_ref_seq_3982"	42.7183759905649	41.0223979923969	-1	1
"Pmin_ref_seq_868"	42.63424825984	40.9404255736981	-1	0
"Pmin_ref_seq_1138"	42.6092297822005	40.9175517645253	-1	1
"Pmin_ref_seq_9961"	42.3960630644859	40.7065191763233	0	0
"Pmin_ref_seq_9820"	42.2709586258472	40.5835384313145	-1	1
"Pmin_ref_seq_5369"	42.0453226541233	40.3600158189039	-1	0
"Pmin_ref_seq_4688"	41.8324373179047	40.1492336077732	-1	1
"Pmin_ref_seq_9186"	41.8026334953063	40.1215227746806	-1	0
"Pmin_ref_seq_4994"	41.7167564975208	40.0377287280434	-1	0
"Pmin_ref_seq_5263"	41.659945865596	39.9829911047414	1	-1
"Pmin_ref_seq_6243"	41.5987111999943	39.9238195997035	-1	NA
"Pmin_ref_seq_7598"	41.3707351588072	39.6978969641475	0	NA
"Pmin_ref_seq_7846"	41.3023611117911	39.6315666596414	-1	1
"Pmin_ref_seq_7777"	40.5223506127387	38.8535903304994	0	-1
"Pmin_ref_seq_385"	39.2564643573076	37.5897287616347	-1	0
"Pmin_ref_seq_691"	39.2429800798162	37.5782597753786	NA	0
"Pmin_ref_seq_5341"	39.1196247636981	37.4569104419582	-1	1
"Pmin_ref_seq_8908"	38.9544711472759	37.293753585292	1	0
"Pmin_ref_seq_8088"	38.8769511193248	37.2182211785764	-1	1
"Pmin_ref_seq_1541"	38.7616066394034	37.1048552646371	-1	1
"Pmin_ref_seq_390"	38.5541628393011	36.8993810573978	-1	NA
"Pmin_ref_seq_8159"	38.3748850371883	36.7220639560504	0	NA
"Pmin_ref_seq_240"	38.0920886213753	36.441219428835	-1	0
"Pmin_ref_seq_9532"	38.0580056664035	36.4090796291492	-1	1
"Pmin_ref_seq_8134"	37.9831634464748	36.3361719089976	-1	1
"Pmin_ref_seq_6849"	37.552551842944	35.9074862265029	-1	NA
"Pmin_ref_seq_5375"	37.5367738799841	35.8936256815887	-1	NA
"Pmin_ref_seq_4719"	37.4370733012017	35.7958340926137	-1	0
"Pmin_ref_seq_9428"	37.3752349540461	35.7358963807975	-1	1
"Pmin_ref_seq_3554"	37.3225960166916	35.6851497971207	-1	1
"Pmin_ref_seq_578"	37.1925025158432	35.5569404401469	-1	1
"Pmin_ref_seq_1578"	36.8594154402891	35.2257293695915	-1	0
"Pmin_ref_seq_6316"	36.8535452738702	35.2217271393078	-1	0
"Pmin_ref_seq_9976"	36.7921894968142	35.1622312986358	1	-1
"Pmin_ref_seq_1291"	36.5843197251445	34.9562135318278	-1	0
"Pmin_ref_seq_7963"	36.5198676271275	34.8936055745092	0	NA
"Pmin_ref_seq_110"	36.4352457612773	34.810820051699	0	0
"Pmin_ref_seq_2856"	36.4319345442778	34.8093374457458	-1	NA
"Pmin_ref_seq_3718"	36.415818705626	34.7950425509856	0	0
"Pmin_ref_seq_7644"	36.0874431055426	34.4684802916657	0	NA
"Pmin_ref_seq_7510"	35.8926195543007	34.2754625412871	0	0
"Pmin_ref_seq_178"	35.79082041189	34.175461722282	-1	1
"Pmin_ref_seq_7367"	35.6944531406455	34.0808853586553	-1	1
"Pmin_ref_seq_8677"	35.6317456340919	34.0199614048422	0	0
"Pmin_ref_seq_7952"	35.2767916726412	33.6667837014173	-1	NA
"Pmin_ref_seq_4882"	34.9728512230714	33.3646122745863	-1	0
"Pmin_ref_seq_3547"	34.9697134649097	33.3632363625808	0	NA
"Pmin_ref_seq_1782"	34.8652047148344	33.2604823400721	-1	0
"Pmin_ref_seq_1008"	34.8313324487505	33.2283577402577	-1	0
"Pmin_ref_seq_9082"	34.7776822022519	33.1764481553354	-1	1
"Pmin_ref_seq_3853"	34.7111533082477	33.1116529741403	NA	0
"Pmin_ref_seq_6723"	33.990808531198	32.3930350163911	0	NA
"Pmin_ref_seq_9972"	33.5957854156969	31.9997318812843	-1	1
"Pmin_ref_seq_768"	33.5112990699487	31.9169587309802	0	-1
"Pmin_ref_seq_5999"	33.3743739211876	31.781740046033	-1	1
"Pmin_ref_seq_8452"	33.0800356269651	31.4891015366884	1	-1
"Pmin_ref_seq_9548"	33.0272730285758	31.4380320963186	-1	1
"Pmin_ref_seq_7494"	32.9292604433968	31.3417060937715	0	-1
"Pmin_ref_seq_4512"	32.6106726688314	31.0247983773241	0	0
"Pmin_ref_seq_3517"	32.5706156404499	30.9864149328322	-1	0
"Pmin_ref_seq_1444"	32.4832489241987	30.9007153759485	0	-1
"Pmin_ref_seq_5359"	32.4286777373999	30.8478049731311	NA	0
"Pmin_ref_seq_2809"	32.1133146415546	30.5340963344558	-1	1
"Pmin_ref_seq_9105"	32.0160938617987	30.43852373308	-1	1
"Pmin_ref_seq_5971"	31.959018853309	30.3830906716573	1	0
"Pmin_ref_seq_6348"	31.9336305722598	30.3593381533024	NA	NA
"Pmin_ref_seq_7107"	31.924752805774	30.3520900115501	-1	1
"Pmin_ref_seq_9893"	31.1013376386299	29.5302983770702	0	-1
"Pmin_ref_seq_6116"	30.3472370436428	28.7778152680567	1	-1
"Pmin_ref_seq_6954"	30.2939394935242	28.7261292020947	1	-1
"Pmin_ref_seq_7321"	29.8703698686108	28.3041651038967	-1	1
"Pmin_ref_seq_7620"	29.7680252485656	28.2034200970113	1	-1
"Pmin_ref_seq_5956"	29.6484916774709	28.0854802689231	-1	1
"Pmin_ref_seq_9442"	29.4518219429339	27.8903984501658	0	0
"Pmin_ref_seq_4288"	29.054769280955	27.4949279191968	0	0
"Pmin_ref_seq_1991"	28.8671516798763	27.308886706353	0	-1
"Pmin_ref_seq_4348"	28.8041744976098	27.2474802110858	-1	1
"Pmin_ref_seq_6748"	28.6436571388141	27.0885278791437	0	-1
"Pmin_ref_seq_939"	28.5652600092417	27.0116901569268	0	-1
"Pmin_ref_seq_6253"	28.428578493002	26.8765624687557	0	NA
"Pmin_ref_seq_9677"	28.4107924135358	26.8603246778524	0	NA
"Pmin_ref_seq_4219"	28.3103075660556	26.7613826187865	-1	1
"Pmin_ref_seq_5457"	28.2901731542538	26.7427855341896	0	0
"Pmin_ref_seq_9950"	28.23227669538	26.6864209798385	-1	NA
"Pmin_ref_seq_5627"	28.0700985902001	26.5257693946202	-1	0
"Pmin_ref_seq_4855"	27.9611764915792	26.4183684691198	-1	1
